Order,Level,Toolkit,Package,Class Name,Note,New Name
74,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_GIter,Ready,GIter
75,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_GTool,Ready,GTool
76,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_GTopo,Ready,GTopo
77,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_LoopClassifier,Ready,LoopClassifier
78,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_LoopSet,Ready,LoopSet
79,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_ShellToSolid,Ready,ShellToSolid
80,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_Tools,Ready,Tools3
81,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_Tools2d,Ready,Tools2d
82,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_WireToFace,Ready,WireToFace
83,0,TKBool,TopOpeBRepDS,TopOpeBRepDS,Ready,TopOpeBRepDS1
84,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_CurveExplorer,Ready,CurveExplorer
85,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_GeometryData,Ready,GeometryData
86,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_InterferenceIterator,Ready,InterferenceIterator
87,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_InterferenceTool,Ready,InterferenceTool
88,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_ListOfShapeOn1State,Ready,ListOfShapeOn1State
89,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_Point,Ready,Point1
90,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_ShapeData,Ready,ShapeData1
91,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_ShapeWithState,Ready,ShapeWithState
92,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_TOOL,Ready,TOOL
93,0,TKBool,TopOpeBRepDS,TopOpeBRepDS_Transition,Ready,Transition
94,0,TKBool,TopOpeBRepTool,TopOpeBRepTool,Ready,TopOpeBRepTool1
95,0,TKBool,TopOpeBRepTool,TopOpeBRepTool_AncestorsTool,Ready,AncestorsTool
96,0,TKBool,TopOpeBRepTool,TopOpeBRepTool_GeomTool,Ready,GeomTool1
97,0,TKBool,TopOpeBRepTool,TopOpeBRepTool_ShapeTool,Ready,ShapeTool
98,0,TKBool,TopOpeBRepTool,TopOpeBRepTool_TOOL,Ready,TOOL1
99,0,TKCAF,TDataXtd,TDataXtd,Ready,TDataXtd1
100,0,TKCAF,TNaming,TNaming,Ready,TNaming1
101,0,TKCAF,TNaming,TNaming_CopyShape,Ready,CopyShape
102,0,TKCAF,TNaming,TNaming_Iterator,Ready,Iterator1
103,0,TKCAF,TNaming,TNaming_IteratorOnShapesSet,Ready,IteratorOnShapesSet
104,0,TKCAF,TNaming,TNaming_NamingTool,Ready,NamingTool
105,0,TKCAF,TNaming,TNaming_NewShapeIterator,Ready,NewShapeIterator
106,0,TKCAF,TNaming,TNaming_OldShapeIterator,Ready,OldShapeIterator
107,0,TKCAF,TNaming,TNaming_SameShapeIterator,Ready,SameShapeIterator
108,0,TKCAF,TNaming,TNaming_Scope,Ready,Scope
109,0,TKCAF,TNaming,TNaming_ShapesSet,Ready,ShapesSet
110,0,TKCAF,TNaming,TNaming_Tool,Ready,Tool
111,0,TKCAF,TNaming,TNaming_Translator,Ready,Translator
112,0,TKCDF,CDF,CDF_DirectoryIterator,Ready,DirectoryIterator
113,0,TKCDF,CDM,CDM_ReferenceIterator,Ready,ReferenceIterator
114,0,TKCDF,LDOM,HashTable,Ready,HashTable1
115,0,TKCDF,LDOM,LDOM_BasicNode,Ready,BasicNode
116,0,TKCDF,LDOM,LDOM_CharReference,Ready,CharReference
117,0,TKCDF,LDOM,LDOM_DocumentType,Ready,DocumentType
118,0,TKCDF,LDOM,LDOM_LDOMImplementation,Ready,LDOMImplementation
119,0,TKCDF,LDOM,LDOM_SBuffer,Ready,SBuffer
120,0,TKCDF,LDOM,LDOM_StringElem,Ready,StringElem
121,0,TKCDF,LDOM,LDOM_XmlWriter,Ready,XmlWriter
122,0,TKCDF,LDOM,MemBlock,Ready,MemBlock1
123,0,TKCDF,LDOM,TableItem,Ready,TableItem1
124,0,TKCDF,PCDM,PCDM,Ready,PCDM1
125,0,TKCDF,UTL,UTL,Ready,UTL1
126,0,TKDCAF,DDF,DDF,Ready,DDF1
127,0,TKDCAF,DDataStd,DDataStd,Ready,DDataStd1
128,0,TKDCAF,DDocStd,DDocStd,Ready,DDocStd1
129,0,TKDCAF,DNaming,DNaming,Ready,DNaming1
130,0,TKDCAF,DPrsStd,DPrsStd,Ready,DPrsStd1
131,0,TKDCAF,DrawDim,DrawDim,Ready,DrawDim1
132,0,TKDE,DE,DE_SectionGlobal,Ready,SectionGlobal
133,0,TKDE,DE,DE_ShapeFixParameters,Ready,ShapeFixParameters
134,0,TKDE,DE,DE_ValidationUtils,Ready,ValidationUtils
135,0,TKDECascade,DEBREP,DEBRep_InternalSection,Ready,DEBRep_InternalSection1
136,0,TKDECascade,DEXCAF,XCAFDoc_InternalSection,Ready,XCAFDoc_InternalSection1
137,0,TKDEGLTF,RWGltf,Hasher,Ready,Hasher1
138,0,TKDEGLTF,RWGltf,Mesh,Ready,Mesh1
139,0,TKDEGLTF,RWGltf,RWGltf_DracoParameters,Ready,DracoParameters
140,0,TKDEGLTF,RWGltf,RWGltf_GltfAccessor,Ready,GltfAccessor
141,0,TKDEGLTF,RWGltf,RWGltf_GltfBufferView,Ready,GltfBufferView
142,0,TKDEGLTF,RWGltf,RWGltf_GltfOStreamWriter,Ready,GltfOStreamWriter
143,0,TKDEGLTF,RWGltf,RWGltf_GltfSceneNodeMap,Ready,GltfSceneNodeMap
144,0,TKDEIGES,IGESAppli,IGESAppli,Ready,IGESAppli1
145,0,TKDEIGES,IGESAppli,IGESAppli_ToolDrilledHole,Ready,ToolDrilledHole
146,0,TKDEIGES,IGESAppli,IGESAppli_ToolElementResults,Ready,ToolElementResults
147,0,TKDEIGES,IGESAppli,IGESAppli_ToolFiniteElement,Ready,ToolFiniteElement
148,0,TKDEIGES,IGESAppli,IGESAppli_ToolFlow,Ready,ToolFlow
149,0,TKDEIGES,IGESAppli,IGESAppli_ToolFlowLineSpec,Ready,ToolFlowLineSpec
150,0,TKDEIGES,IGESAppli,IGESAppli_ToolLevelFunction,Ready,ToolLevelFunction
151,0,TKDEIGES,IGESAppli,IGESAppli_ToolLevelToPWBLayerMap,Ready,ToolLevelToPWBLayerMap
152,0,TKDEIGES,IGESAppli,IGESAppli_ToolLineWidening,Ready,ToolLineWidening
153,0,TKDEIGES,IGESAppli,IGESAppli_ToolNodalConstraint,Ready,ToolNodalConstraint
154,0,TKDEIGES,IGESAppli,IGESAppli_ToolNodalDisplAndRot,Ready,ToolNodalDisplAndRot
155,0,TKDEIGES,IGESAppli,IGESAppli_ToolNodalResults,Ready,ToolNodalResults
156,0,TKDEIGES,IGESAppli,IGESAppli_ToolNode,Ready,ToolNode
157,0,TKDEIGES,IGESAppli,IGESAppli_ToolPWBArtworkStackup,Ready,ToolPWBArtworkStackup
158,0,TKDEIGES,IGESAppli,IGESAppli_ToolPWBDrilledHole,Ready,ToolPWBDrilledHole
159,0,TKDEIGES,IGESAppli,IGESAppli_ToolPartNumber,Ready,ToolPartNumber
160,0,TKDEIGES,IGESAppli,IGESAppli_ToolPinNumber,Ready,ToolPinNumber
161,0,TKDEIGES,IGESAppli,IGESAppli_ToolPipingFlow,Ready,ToolPipingFlow
162,0,TKDEIGES,IGESAppli,IGESAppli_ToolReferenceDesignator,Ready,ToolReferenceDesignator
163,0,TKDEIGES,IGESAppli,IGESAppli_ToolRegionRestriction,Ready,ToolRegionRestriction
164,0,TKDEIGES,IGESBasic,IGESBasic,Ready,IGESBasic1
165,0,TKDEIGES,IGESBasic,IGESBasic_ToolAssocGroupType,Ready,ToolAssocGroupType
166,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalRefFile,Ready,ToolExternalRefFile
167,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalRefFileIndex,Ready,ToolExternalRefFileIndex
168,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalRefFileName,Ready,ToolExternalRefFileName
169,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalRefLibName,Ready,ToolExternalRefLibName
170,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalRefName,Ready,ToolExternalRefName
171,0,TKDEIGES,IGESBasic,IGESBasic_ToolExternalReferenceFile,Ready,ToolExternalReferenceFile
172,0,TKDEIGES,IGESBasic,IGESBasic_ToolGroup,Ready,ToolGroup
173,0,TKDEIGES,IGESBasic,IGESBasic_ToolGroupWithoutBackP,Ready,ToolGroupWithoutBackP
174,0,TKDEIGES,IGESBasic,IGESBasic_ToolHierarchy,Ready,ToolHierarchy
175,0,TKDEIGES,IGESBasic,IGESBasic_ToolName,Ready,ToolName
176,0,TKDEIGES,IGESBasic,IGESBasic_ToolOrderedGroup,Ready,ToolOrderedGroup
177,0,TKDEIGES,IGESBasic,IGESBasic_ToolOrderedGroupWithoutBackP,Ready,ToolOrderedGroupWithoutBackP
178,0,TKDEIGES,IGESBasic,IGESBasic_ToolSingleParent,Ready,ToolSingleParent
179,0,TKDEIGES,IGESBasic,IGESBasic_ToolSingularSubfigure,Ready,ToolSingularSubfigure
180,0,TKDEIGES,IGESBasic,IGESBasic_ToolSubfigureDef,Ready,ToolSubfigureDef
181,0,TKDEIGES,IGESCAFControl,IGESCAFControl,Ready,IGESCAFControl1
182,0,TKDEIGES,IGESConvGeom,IGESConvGeom,Ready,IGESConvGeom1
183,0,TKDEIGES,IGESData,IGESData,Ready,IGESData1
184,0,TKDEIGES,IGESData,IGESData_DefSwitch,Ready,DefSwitch
185,0,TKDEIGES,IGESData,IGESData_DirChecker,Ready,DirChecker
186,0,TKDEIGES,IGESData,IGESData_DirPart,Ready,DirPart
187,0,TKDEIGES,IGESData,IGESData_IGESType,Ready,IGESType
188,0,TKDEIGES,IGESData,IGESData_ParamCursor,Ready,ParamCursor
189,0,TKDEIGES,IGESDefs,IGESDefs,Ready,IGESDefs1
190,0,TKDEIGES,IGESDefs,IGESDefs_ToolAssociativityDef,Ready,ToolAssociativityDef
191,0,TKDEIGES,IGESDefs,IGESDefs_ToolAttributeDef,Ready,ToolAttributeDef
192,0,TKDEIGES,IGESDefs,IGESDefs_ToolAttributeTable,Ready,ToolAttributeTable
193,0,TKDEIGES,IGESDefs,IGESDefs_ToolGenericData,Ready,ToolGenericData
194,0,TKDEIGES,IGESDefs,IGESDefs_ToolMacroDef,Ready,ToolMacroDef
195,0,TKDEIGES,IGESDefs,IGESDefs_ToolTabularData,Ready,ToolTabularData
196,0,TKDEIGES,IGESDefs,IGESDefs_ToolUnitsData,Ready,ToolUnitsData
197,0,TKDEIGES,IGESDimen,IGESDimen,Ready,IGESDimen1
198,0,TKDEIGES,IGESDimen,IGESDimen_ToolAngularDimension,Ready,ToolAngularDimension
199,0,TKDEIGES,IGESDimen,IGESDimen_ToolBasicDimension,Ready,ToolBasicDimension
200,0,TKDEIGES,IGESDimen,IGESDimen_ToolCenterLine,Ready,ToolCenterLine
201,0,TKDEIGES,IGESDimen,IGESDimen_ToolCurveDimension,Ready,ToolCurveDimension
202,0,TKDEIGES,IGESDimen,IGESDimen_ToolDiameterDimension,Ready,ToolDiameterDimension
203,0,TKDEIGES,IGESDimen,IGESDimen_ToolDimensionDisplayData,Ready,ToolDimensionDisplayData
204,0,TKDEIGES,IGESDimen,IGESDimen_ToolDimensionTolerance,Ready,ToolDimensionTolerance
205,0,TKDEIGES,IGESDimen,IGESDimen_ToolDimensionUnits,Ready,ToolDimensionUnits
206,0,TKDEIGES,IGESDimen,IGESDimen_ToolDimensionedGeometry,Ready,ToolDimensionedGeometry
207,0,TKDEIGES,IGESDimen,IGESDimen_ToolFlagNote,Ready,ToolFlagNote
208,0,TKDEIGES,IGESDimen,IGESDimen_ToolGeneralLabel,Ready,ToolGeneralLabel
209,0,TKDEIGES,IGESDimen,IGESDimen_ToolGeneralNote,Ready,ToolGeneralNote
210,0,TKDEIGES,IGESDimen,IGESDimen_ToolGeneralSymbol,Ready,ToolGeneralSymbol
211,0,TKDEIGES,IGESDimen,IGESDimen_ToolLeaderArrow,Ready,ToolLeaderArrow
212,0,TKDEIGES,IGESDimen,IGESDimen_ToolLinearDimension,Ready,ToolLinearDimension
213,0,TKDEIGES,IGESDimen,IGESDimen_ToolNewDimensionedGeometry,Ready,ToolNewDimensionedGeometry
214,0,TKDEIGES,IGESDimen,IGESDimen_ToolNewGeneralNote,Ready,ToolNewGeneralNote
215,0,TKDEIGES,IGESDimen,IGESDimen_ToolOrdinateDimension,Ready,ToolOrdinateDimension
216,0,TKDEIGES,IGESDimen,IGESDimen_ToolPointDimension,Ready,ToolPointDimension
217,0,TKDEIGES,IGESDimen,IGESDimen_ToolRadiusDimension,Ready,ToolRadiusDimension
218,0,TKDEIGES,IGESDimen,IGESDimen_ToolSection,Ready,ToolSection
219,0,TKDEIGES,IGESDimen,IGESDimen_ToolSectionedArea,Ready,ToolSectionedArea
220,0,TKDEIGES,IGESDimen,IGESDimen_ToolWitnessLine,Ready,ToolWitnessLine
221,0,TKDEIGES,IGESDraw,IGESDraw,Ready,IGESDraw1
222,0,TKDEIGES,IGESDraw,IGESDraw_ToolCircArraySubfigure,Ready,ToolCircArraySubfigure
223,0,TKDEIGES,IGESDraw,IGESDraw_ToolConnectPoint,Ready,ToolConnectPoint
224,0,TKDEIGES,IGESDraw,IGESDraw_ToolDrawing,Ready,ToolDrawing
225,0,TKDEIGES,IGESDraw,IGESDraw_ToolDrawingWithRotation,Ready,ToolDrawingWithRotation
226,0,TKDEIGES,IGESDraw,IGESDraw_ToolLabelDisplay,Ready,ToolLabelDisplay
227,0,TKDEIGES,IGESDraw,IGESDraw_ToolNetworkSubfigure,Ready,ToolNetworkSubfigure
228,0,TKDEIGES,IGESDraw,IGESDraw_ToolNetworkSubfigureDef,Ready,ToolNetworkSubfigureDef
229,0,TKDEIGES,IGESDraw,IGESDraw_ToolPerspectiveView,Ready,ToolPerspectiveView
230,0,TKDEIGES,IGESDraw,IGESDraw_ToolPlanar,Ready,ToolPlanar
231,0,TKDEIGES,IGESDraw,IGESDraw_ToolRectArraySubfigure,Ready,ToolRectArraySubfigure
232,0,TKDEIGES,IGESDraw,IGESDraw_ToolSegmentedViewsVisible,Ready,ToolSegmentedViewsVisible
233,0,TKDEIGES,IGESDraw,IGESDraw_ToolView,Ready,ToolView
234,0,TKDEIGES,IGESDraw,IGESDraw_ToolViewsVisible,Ready,ToolViewsVisible
235,0,TKDEIGES,IGESDraw,IGESDraw_ToolViewsVisibleWithAttr,Ready,ToolViewsVisibleWithAttr
236,0,TKDEIGES,IGESGeom,IGESGeom,Ready,IGESGeom1
237,0,TKDEIGES,IGESGeom,IGESGeom_ToolBSplineCurve,Ready,ToolBSplineCurve
238,0,TKDEIGES,IGESGeom,IGESGeom_ToolBSplineSurface,Ready,ToolBSplineSurface
239,0,TKDEIGES,IGESGeom,IGESGeom_ToolBoundary,Ready,ToolBoundary
240,0,TKDEIGES,IGESGeom,IGESGeom_ToolBoundedSurface,Ready,ToolBoundedSurface
241,0,TKDEIGES,IGESGeom,IGESGeom_ToolCircularArc,Ready,ToolCircularArc
242,0,TKDEIGES,IGESGeom,IGESGeom_ToolCompositeCurve,Ready,ToolCompositeCurve
243,0,TKDEIGES,IGESGeom,IGESGeom_ToolConicArc,Ready,ToolConicArc
244,0,TKDEIGES,IGESGeom,IGESGeom_ToolCopiousData,Ready,ToolCopiousData
245,0,TKDEIGES,IGESGeom,IGESGeom_ToolCurveOnSurface,Ready,ToolCurveOnSurface
246,0,TKDEIGES,IGESGeom,IGESGeom_ToolDirection,Ready,ToolDirection
247,0,TKDEIGES,IGESGeom,IGESGeom_ToolFlash,Ready,ToolFlash
248,0,TKDEIGES,IGESGeom,IGESGeom_ToolLine,Ready,ToolLine
249,0,TKDEIGES,IGESGeom,IGESGeom_ToolOffsetCurve,Ready,ToolOffsetCurve
250,0,TKDEIGES,IGESGeom,IGESGeom_ToolOffsetSurface,Ready,ToolOffsetSurface
251,0,TKDEIGES,IGESGeom,IGESGeom_ToolPlane,Ready,ToolPlane
252,0,TKDEIGES,IGESGeom,IGESGeom_ToolPoint,Ready,ToolPoint
253,0,TKDEIGES,IGESGeom,IGESGeom_ToolRuledSurface,Ready,ToolRuledSurface
254,0,TKDEIGES,IGESGeom,IGESGeom_ToolSplineCurve,Ready,ToolSplineCurve
255,0,TKDEIGES,IGESGeom,IGESGeom_ToolSplineSurface,Ready,ToolSplineSurface
256,0,TKDEIGES,IGESGeom,IGESGeom_ToolSurfaceOfRevolution,Ready,ToolSurfaceOfRevolution
257,0,TKDEIGES,IGESGeom,IGESGeom_ToolTabulatedCylinder,Ready,ToolTabulatedCylinder
258,0,TKDEIGES,IGESGeom,IGESGeom_ToolTransformationMatrix,Ready,ToolTransformationMatrix
259,0,TKDEIGES,IGESGeom,IGESGeom_ToolTrimmedSurface,Ready,ToolTrimmedSurface
260,0,TKDEIGES,IGESGraph,IGESGraph,Ready,IGESGraph1
261,0,TKDEIGES,IGESGraph,IGESGraph_ToolColor,Ready,ToolColor
262,0,TKDEIGES,IGESGraph,IGESGraph_ToolDefinitionLevel,Ready,ToolDefinitionLevel
263,0,TKDEIGES,IGESGraph,IGESGraph_ToolDrawingSize,Ready,ToolDrawingSize
264,0,TKDEIGES,IGESGraph,IGESGraph_ToolDrawingUnits,Ready,ToolDrawingUnits
265,0,TKDEIGES,IGESGraph,IGESGraph_ToolHighLight,Ready,ToolHighLight
266,0,TKDEIGES,IGESGraph,IGESGraph_ToolIntercharacterSpacing,Ready,ToolIntercharacterSpacing
267,0,TKDEIGES,IGESGraph,IGESGraph_ToolLineFontDefPattern,Ready,ToolLineFontDefPattern
268,0,TKDEIGES,IGESGraph,IGESGraph_ToolLineFontDefTemplate,Ready,ToolLineFontDefTemplate
269,0,TKDEIGES,IGESGraph,IGESGraph_ToolLineFontPredefined,Ready,ToolLineFontPredefined
270,0,TKDEIGES,IGESGraph,IGESGraph_ToolNominalSize,Ready,ToolNominalSize
271,0,TKDEIGES,IGESGraph,IGESGraph_ToolPick,Ready,ToolPick
272,0,TKDEIGES,IGESGraph,IGESGraph_ToolTextDisplayTemplate,Ready,ToolTextDisplayTemplate
273,0,TKDEIGES,IGESGraph,IGESGraph_ToolTextFontDef,Ready,ToolTextFontDef
274,0,TKDEIGES,IGESGraph,IGESGraph_ToolUniformRectGrid,Ready,ToolUniformRectGrid
275,0,TKDEIGES,IGESSelect,IGESSelect,Ready,IGESSelect1
276,0,TKDEIGES,IGESSolid,IGESSolid,Ready,IGESSolid1
277,0,TKDEIGES,IGESSolid,IGESSolid_ToolBlock,Ready,ToolBlock
278,0,TKDEIGES,IGESSolid,IGESSolid_ToolBooleanTree,Ready,ToolBooleanTree
279,0,TKDEIGES,IGESSolid,IGESSolid_ToolConeFrustum,Ready,ToolConeFrustum
280,0,TKDEIGES,IGESSolid,IGESSolid_ToolConicalSurface,Ready,ToolConicalSurface
281,0,TKDEIGES,IGESSolid,IGESSolid_ToolCylinder,Ready,ToolCylinder
282,0,TKDEIGES,IGESSolid,IGESSolid_ToolCylindricalSurface,Ready,ToolCylindricalSurface
283,0,TKDEIGES,IGESSolid,IGESSolid_ToolEdgeList,Ready,ToolEdgeList
284,0,TKDEIGES,IGESSolid,IGESSolid_ToolEllipsoid,Ready,ToolEllipsoid
285,0,TKDEIGES,IGESSolid,IGESSolid_ToolFace,Ready,ToolFace
286,0,TKDEIGES,IGESSolid,IGESSolid_ToolLoop,Ready,ToolLoop
287,0,TKDEIGES,IGESSolid,IGESSolid_ToolManifoldSolid,Ready,ToolManifoldSolid
288,0,TKDEIGES,IGESSolid,IGESSolid_ToolPlaneSurface,Ready,ToolPlaneSurface
289,0,TKDEIGES,IGESSolid,IGESSolid_ToolRightAngularWedge,Ready,ToolRightAngularWedge
290,0,TKDEIGES,IGESSolid,IGESSolid_ToolSelectedComponent,Ready,ToolSelectedComponent
291,0,TKDEIGES,IGESSolid,IGESSolid_ToolShell,Ready,ToolShell
292,0,TKDEIGES,IGESSolid,IGESSolid_ToolSolidAssembly,Ready,ToolSolidAssembly
293,0,TKDEIGES,IGESSolid,IGESSolid_ToolSolidInstance,Ready,ToolSolidInstance
294,0,TKDEIGES,IGESSolid,IGESSolid_ToolSolidOfLinearExtrusion,Ready,ToolSolidOfLinearExtrusion
295,0,TKDEIGES,IGESSolid,IGESSolid_ToolSolidOfRevolution,Ready,ToolSolidOfRevolution
296,0,TKDEIGES,IGESSolid,IGESSolid_ToolSphere,Ready,ToolSphere
297,0,TKDEIGES,IGESSolid,IGESSolid_ToolSphericalSurface,Ready,ToolSphericalSurface
298,0,TKDEIGES,IGESSolid,IGESSolid_ToolToroidalSurface,Ready,ToolToroidalSurface
299,0,TKDEIGES,IGESSolid,IGESSolid_ToolTorus,Ready,ToolTorus
300,0,TKDEIGES,IGESSolid,IGESSolid_ToolVertexList,Ready,ToolVertexList
301,0,TKDEIGES,IGESToBRep,IGESToBRep,Ready,IGESToBRep1
302,0,TKDEOBJ,RWObj,ObjVec3iHasher,Ready,ObjVec3iHasher1
303,0,TKDEOBJ,RWObj,RWObj,Ready,RWObj1
304,0,TKDEOBJ,RWObj,RWObj_IShapeReceiver,Ready,IShapeReceiver
305,0,TKDEOBJ,RWObj,VectorOfVertices,Ready,VectorOfVertices1
306,0,TKDESTEP,GeomToStep,GeomToStep_Root,Ready,Root1
307,0,TKDESTEP,HeaderSection,HeaderSection,Ready,HeaderSection1
308,0,TKDESTEP,RWHeaderSection,RWHeaderSection,Ready,RWHeaderSection1
309,0,TKDESTEP,RWHeaderSection,RWHeaderSection_RWFileDescription,Ready,RWFileDescription
